"","x"
"1","Pag1"
"2","Maml3"
"3","Postn"
"4","Gpr171"
"5","P2ry14"
"6","Il12a"
"7","Gria2"
"8","Pbxip1"
"9","Ctss"
"10","Tspan2"
"11","Cnn3"
"12","Mcoln2"
"13","Renbp"
"14","Tlr7"
"15","Coro7"
"16","Ubald1"
"17","Snx29"
"18","Zdhhc8"
"19","Itgb5"
"20","Plcxd2"
"21","Ift57"
"22","Nfkbiz"
"23","D16Ertd472e"
"24","Ifnar2"
"25","Il10rb"
"26","Pirb"
"27","Hspbp1"
"28","Ppp5c"
"29","Clasrp"
"30","Pvr"
"31","Kcnn4"
"32","Arhgef1"
"33","Pou2f2"
"34","Pafah1b3"
"35","Zfp36"
"36","Pak4"
"37","Gramd1a"
"38","Tshz3"
"39","Siglecg"
"40","Cd33"
"41","Napsa"
"42","Cd37"
"43","Mrgpra9"
"44","Apba2"
"45","Mctp2"
"46","Il16"
"47","Eef2k"
"48","Il4ra"
"49","AI467606"
"50","Sept1"
"51","Paox"
"52","Sirt3"
"53","Irf7"
"54","Ap2a2"
"55","Mob2"
"56","Lsp1"
"57","Lif"
"58","Ikzf1"
"59","Rel"
"60","9930111J21Rik2"
"61","Mgat1"
"62","Rmnd5b"
"63","N4bp3"
"64","Irf1"
"65","Trim11"
"66","Cd68"
"67","Slc16a11"
"68","Med11"
"69","Nlrp1a"
"70","Nlrp1b"
"71","Slc43a2"
"72","Abr"
"73","Ssh2"
"74","Tnfaip1"
"75","Evi2a"
"76","Ccl3"
"77","Ccl4"
"78","Wfdc17"
"79","Wfdc18"
"80","Scpep1"
"81","Trim25"
"82","Acsf2"
"83","Abi3"
"84","Scrn2"
"85","Rara"
"86","Arhgap27"
"87","Sstr2"
"88","Fdxr"
"89","Caskin2"
"90","Rhbdf2"
"91","Cbx2"
"92","Sgsh"
"93","Slc26a11"
"94","Baiap2"
"95","Phf14"
"96","Tes"
"97","Impdh1"
"98","Hilpda"
"99","Irf5"
"100","Zyx"
